Topic,Words,Frequency,Timestamp
8,"LEI INELEGIBILIDADE REU CORRUPÇÃO, LEI INELEGIBILIDADE REU, DE LEI INELEGIBILIDADE REU, PROJETO DE LEI INELEGIBILIDADE, DE LEI INELEGIBILIDADE",8,2010
9,"UNIVERSIDADE, DA EDUCAÇÃO, PROFESSOR, EDUCAÇÃO MEC, DA EDUCAÇÃO MEC",27,2010
10,"PETROLEO, PETROLEO BRASILEIRO PETROBRAS, PETROLEO BRASILEIRO, BRASILEIRO PETROBRAS, REFINARIA PETROLEO",5,2010
11,"CANCER, MEDICO, MEDICAMENTOS, HOSPITAL, MINISTERIO DA SAUDE MS",15,2010
12,"DO PIAUI, PIAUI, PIAUI PI, DO PIAUI PI, ESTADO DO PIAUI",92,2010
13,"FUTEBOL, CAMPEONATO, CAMPEONATO MUNDIAL, CAMPEONATO MUNDIAL FUTEBOL, MUNDIAL FUTEBOL",46,2010
14,"ACRE, DO ACRE, ACRE AC, ESTADO DO ACRE AC, ESTADO DO ACRE",8,2010
16,"JANEIRO RJ, RIO DE JANEIRO RJ, DE JANEIRO RJ, DE JANEIRO, RIO DE",32,2010
17,"AGRICULTURA, RURAL, PRODUTOR RURAL, AGRICULTURA PECUARIA, PRODUÇÃO",5,2010
18,"BRASILEIRA PSDB, SOCIAL DEMOCRACIA BRASILEIRA, DEMOCRACIA BRASILEIRA PSDB, SOCIAL DEMOCRACIA BRASILEIRA PSDB, DEMOCRACIA BRASILEIRA",14,2010
19,"FEDERAL ALEGAÇÕES FALTA, CAPACIDADE ACOMPANHAMENTO, EDUCAÇÃO MINISTERIO PUBLICO, IDADE CRIANÇA INGRESSO, ESTADUAL ORIENTAÇÃO",1,2010
20,"TRIBUNAL DE, FEDERAL STF, SUPREMO TRIBUNAL FEDERAL, SUPREMO TRIBUNAL, TRIBUNAL FEDERAL STF",56,2010
21,"DO SUL RS, DO SUL, GRANDE DO SUL, RIO GRANDE DO SUL, GRANDE DO SUL RS",4,2010
22,"INELEGIBILIDADE REU CORRUPÇÃO, INELEGIBILIDADE REU, LEI REAJUSTE APOSENTADORIA, DE LEI REAJUSTE APOSENTADORIA, REU CORRUPÇÃO",18,2010
23,"CATARINA, DE SANTA CATARINA, SANTA CATARINA, ESTADO DE SANTA CATARINA, ESTADO DE SANTA",35,2010
24,"PROVISORIA SOBRE, CONTRIBUIÇÃO PROVISORIA SOBRE MOVIMENTAÇÃO, CONTRIBUIÇÃO PROVISORIA SOBRE, PROVISORIA SOBRE MOVIMENTAÇÃO FINANCEIRA, CONTRIBUIÇÃO PROVISORIA",8,2010
25,"ATENÇÃO PROTEÇÃO RECURSOS, POLITICA FOMENTO DESENVOLVIMENTO, POLITICA FOMENTO DESENVOLVIMENTO SUSTENTAVEL, RECURSOS AMBIENTAIS FLORESTA, AMAZONICA NECESSIDADE ATENÇÃO",1,2010
26,"MT, DE MATO GROSSO, DE MATO GROSSO MT, GROSSO MT, MATO GROSSO MT",68,2010
